n,seconds
1,0.0000585830
2,0.0000037060
3,0.0000039970
4,0.0000109190
5,0.0000220350
6,0.0000445670
7,0.0000939970
8,0.0002000690
9,0.0004279400
10,0.0009306950
11,0.0020862320
12,0.0042789030
13,0.0088674270
14,0.0186937610
15,0.0403989870
16,0.0872244640
17,0.1898465750
18,0.3920801640
19,0.7984843180
20,1.7615289370
21,3.6294867890
22,7.2930192400
